price,make_model,body_type,vat,km,type,fuel,gears,extras,age,previous_owners,hp_kw,inspection_new,paint_type,upholstery_type,gearing_type,displacement_cc,weight_kg,drive_chain,cons_comb,comfort_package,entertainment_media_package,safety_security_package
28085,Opel Insignia,Sedans,VAT deductible,1647.3626086956522,New,Diesel,6.0,"Alloy wheels,Catalytic Converter,Touch screen",0.0,1.0,100.0,1,Uni/basic,Cloth,Automatic,1598.0,1522.0,front,5.2,Standard,Premium Media,Safety Premium Package
32990,Opel Insignia,Sedans,VAT deductible,5000.0,Used,Benzine,6.0,Alloy wheels,0.0,1.0,121.0,0,Metallic,Part/Full Leather,Automatic,1490.0,1503.0,front,6.1,Premium,Premium Media,Safety Premium Package
32990,Opel Insignia,Station wagon,VAT deductible,2002.0,Used,Diesel,8.0,"Alloy wheels,Roof rack,Shift paddles,Sport seats",0.0,1.0,125.0,1,Metallic,Part/Full Leather,Automatic,1956.0,1764.0,front,5.6,Standard,Premium Media,Safety Premium Plus Package
32950,Opel Insignia,Sedans,VAT deductible,15.0,Demonstration,Diesel,8.0,"Alloy wheels,Catalytic Converter,Touch screen,Voice Control",0.0,1.0,125.0,1,Metallic,Part/Full Leather,Automatic,1956.0,1613.0,front,5.5,Premium,Premium Media,Safety Premium Package
32990,Opel Insignia,Station wagon,VAT deductible,10.0,New,Benzine,6.0,"Alloy wheels,Roof rack,Sport package,Sport seats,Sport suspension,Touch screen,Voice Control",0.0,1.0,147.0,0,Metallic,Part/Full Leather,Automatic,1600.0,1487.0,front,6.4,Premium,Premium Media,Safety Premium Package
32990,Opel Insignia,Station wagon,VAT deductible,3990.0,Demonstration,Diesel,6.0,"Alloy wheels,Catalytic Converter",0.0,1.0,100.0,0,Metallic,Part/Full Leather,Automatic,1598.0,1582.0,front,5.3,Premium,Premium Media,Safety Premium Package
32975,Opel Insignia,Sedans,VAT deductible,15000.0,Used,Diesel,6.0,"Alloy wheels,Sport seats",0.0,1.0,100.0,0,Uni/basic,Cloth,Automatic,1598.0,1440.0,front,5.4,Standard,Standard Media,Safety Standard Package
32970,Opel Insignia,Station wagon,VAT deductible,550.0,Demonstration,Benzine,6.0,"Alloy wheels,Roof rack,Sport seats,Sport suspension,Touch screen,Voice Control",0.0,1.0,147.0,1,Metallic,Part/Full Leather,Automatic,1598.0,1522.0,front,7.9,Premium Plus,Premium Media,Safety Premium Package
32850,Opel Insignia,Station wagon,VAT deductible,10000.0,Used,Diesel,8.0,"Alloy wheels,Roof rack,Shift paddles,Touch screen,Voice Control",0.0,1.0,125.0,0,Metallic,Part/Full Leather,Automatic,1956.0,1666.0,front,5.7,Premium,Premium Media,Safety Premium Package
32700,Opel Insignia,Sedans,VAT deductible,1.0,New,Diesel,8.0,"Alloy wheels,Sport package,Touch screen,Voice Control",0.0,0.0,125.0,0,Uni/basic,Part/Full Leather,Automatic,1956.0,1440.0,front,5.5,Premium,Premium Media,Safety Premium Package
32690,Opel Insignia,Sedans,VAT deductible,10.0,New,Benzine,6.0,"Alloy wheels,Sport seats",0.0,0.0,121.0,0,Metallic,Part/Full Leather,Automatic,1490.0,1503.0,front,5.9,Premium,Premium Media,Safety Premium Package
32500,Opel Insignia,Station wagon,VAT deductible,1.0,Pre-registered,Diesel,8.0,"Alloy wheels,Touch screen,Voice Control",0.0,1.0,125.0,0,Metallic,Part/Full Leather,Automatic,1956.0,1660.0,front,5.7,Standard,Premium Media,Safety Standard Package
32490,Opel Insignia,Sedans,VAT deductible,9000.0,Demonstration,Benzine,6.0,"Alloy wheels,Shift paddles,Sport package,Sport seats",0.0,1.0,121.0,0,Metallic,Part/Full Leather,Automatic,1490.0,1503.0,front,5.7,Premium,Premium Media,Safety Premium Package
